Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
283001,Abu,Shield(s),-6850,Japan,Honshu,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,9594
355096,Acamarachi,Stratovolcano,Unknown,Chile,"Northern Chile, Bolivia and Argentina",Evidence Credible,Dacite	Andesite / Basaltic Andesite,,7
342080,Acatenango,Stratovolcano(es),1972,Guatemala,Guatemala,Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt,60730
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Turkey,Eruption Dated,Rhyolite	Dacite	Basalt / Picro-Basalt,,127863
321040,Adams,Stratovolcano,950,United States,USA (Washington),Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,Dacite,70
333050,Adams Seamount,Submarine,-50,Undersea Features,Pacific Ocean (central),Eruption Dated,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite	Andesite / Basaltic Andesite,0
283170,Adatarayama,Stratovolcano(es),1996,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite,Dacite	Basalt / Picro-Basalt,3936
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Basalt / Picro-Basalt	Trachyte / Trachydacite,,485
221110,Afdera,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Uncertain,Rhyolite,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Andesite / Basaltic Andesite,6042
284160,Agrigan,Stratovolcano,1917,United States,"Izu, Volcano, and Mariana Islands",Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
342100,Agua,Stratovolcano,Unknown,Guatemala,Guatemala,Evidence Credible,Andesite / Basaltic Andesite,Dacite,114404
382090,Agua de Pau,Stratovolcano,1564,Portugal,Azores,Eruption Observed,Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,,17272
358062,Aguilera,Stratovolcano,-1250,Chile,Southern Chile and Argentina,Eruption Dated,Dacite,,0
264020,Agung,Stratovolcano,2019,Indonesia,Lesser Sunda Islands,Eruption Observed,Andesite / Basaltic Andesite,,76781
284141,Ahyi,Submarine,2014,United States,"Izu, Volcano, and Mariana Islands",Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
282080,Aira,Caldera,2019,Japan,Ryukyu Islands and Kyushu,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Rhyolite,,113874
300125,Akademia Nauk,Stratovolcano(es),1996,Russia,Kamchatka Peninsula,Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt	Rhyolite,3
283130,Akagisan,Stratovolcano,Unknown,Japan,Honshu,Evidence Uncertain,Andesite / Basaltic Andesite,Dacite,4538
285070,Akan,Caldera,2008,Japan,Hokkaido,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,2062
283069,Akandanayama,Stratovolcano,Unknown,Japan,Honshu,Evidence Credible,,,0
300320,Akhtang,Shield,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,Honshu,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,3864
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite,Dacite,721
282022,Akusekijima,Stratovolcano(es),Unknown,Japan,Ryukyu Islands and Kyushu,Evidence Uncertain,Andesite / Basaltic Andesite	Dacite,,52
311320,Akutan,Stratovolcano,1992,United States,Aleutian Islands,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite	Dacite,24
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,64
284180,Alamagan,Stratovolcano,870,United States,"Izu, Volcano, and Mariana Islands",Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
221112,Alayta,Shield,1915,Ethiopia,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt	Trachyte / Trachydacite	Trachyandesite / Basaltic Trachyandesite,,925
353040,Alcedo,Shield,1993,Ecuador,Galapagos Islands,Eruption Observed,Basalt / Picro-Basalt,Rhyolite	Dacite	Andesite / Basaltic Andesite,290
221090,Ale Bagu,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Trachyte / Trachydacite	Rhyolite,,919
221040,Alid,Stratovolcano,Unknown,Eritrea,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,2447
352031,Aliso,Stratovolcano,-2450,Ecuador,Ecuador,Eruption Dated,Andesite / Basaltic Andesite	Rhyolite	Dacite,,0
320020,Alligator Lake,Volcanic field,Unknown,Canada,Canada,Evidence Credible,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,0
342040,Almolonga,Stratovolcano,1818,Guatemala,Guatemala,Eruption Observed,Dacite	Andesite / Basaltic Andesite,Basalt / Picro-Basalt,287487
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka Peninsula,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Rhyolite	Dacite,0
300600,Alngey,Stratovolcano,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyte / Trachydacite,,9
221270,Alutu,Stratovolcano,-50,Ethiopia,Africa (northeastern) and Red Sea,Eruption Dated,Rhyolite	Dacite	Basalt / Picro-Basalt,,25619
311390,Amak,Stratovolcano,1796,United States,Aleutian Islands,Eruption Observed,Andesite / Basaltic Andesite,,0
268072,Amasing,Stratovolcano(es),Unknown,Indonesia,Halmahera,Evidence Credible,Andesite / Basaltic Andesite,,803
257030,Ambae,Shield,2018,Vanuatu,Vanuatu,Eruption Observed,Basalt / Picro-Basalt,,1279
266020,Ambang,Complex,2005,Indonesia,Sulawesi,Eruption Observed,Andesite / Basaltic Andesite,,46469
254020,Ambitle,Stratovolcano,-350,Papua New Guinea,New Ireland,Eruption Dated,Phono-tephrite /  Tephri-phonolite	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,,9195
233011,Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,Indian Ocean (western),Evidence Credible,Basalt / Picro-Basalt	Rhyolite	Trachyte / Trachydacite,,20396
257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Vanuatu,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Dacite,,186
234001,Amsterdam Island,Stratovolcano,Unknown,France,Indian Ocean (southern),Evidence Credible,Basalt / Picro-Basalt,,0
311190,Amukta,Stratovolcano,1997,United States,Aleutian Islands,Eruption Observed,Andesite / Basaltic Andesite,,0
284200,Anatahan,Stratovolcano,2008,United States,"Izu, Volcano, and Mariana Islands",Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,0
300390,Anaun,Stratovolcano,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,4
354004,Andahua-Orcopampa,Pyroclastic cone(s),1490,Peru,Peru,Eruption Dated,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,10317
390023,Andrus,Shield(s),Unknown,Antarctica,Antarctica and South Sandwich Islands,Evidence Uncertain,Trachyte / Trachydacite	Rhyolite	Trachyandesite / Basaltic Trachyandesite,,0
257110,Aneityum,Stratovolcano(es),Unknown,Vanuatu,Vanuatu,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,692
312090,Aniakchak,Caldera,1931,United States,Alaska Peninsula,Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt	Trachyte / Trachydacite	Trachyandesite / Basaltic Trachyandesite,0
233013,Ankaizina Field,Pyroclastic cone(s),Unknown,Madagascar,Indian Ocean (western),Evidence Credible,Basalt / Picro-Basalt,,9628
357153,Antillanca Group,Stratovolcano(es),-230,Chile,Central Chile and Argentina,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,521
352030,Antisana,Stratovolcano,1802,Ecuador,Ecuador,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,2220
355180,Antofagasta Volcanic Field,Pyroclastic cone(s),Unknown,Argentina,"Northern Chile, Bolivia and Argentina",Evidence Uncertain,Andesite / Basaltic Andesite,,188
357080,Antuco,Stratovolcano,1869,Chile,Central Chile and Argentina,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,474
284060,Aogashima,Stratovolcano,1785,Japan,"Izu, Volcano, and Mariana Islands",Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,232
358024,Apagado,Pyroclastic cone,-590,Chile,Southern Chile and Argentina,Eruption Dated,Basalt / Picro-Basalt,,44
343010,Apaneca Range,Stratovolcano(es),Unknown,El Salvador,El Salvador and Honduras,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,,151502
343071,Apastepeque Field,Volcanic field,Unknown,El Salvador,El Salvador and Honduras,Evidence Credible,Dacite	Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,377730
344091,Apoyeque,Pyroclastic shield,-50,Nicaragua,Nicaragua,Eruption Dated,Dacite	Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,116718
355160,Aracar,Stratovolcano,Unknown,Argentina,"Northern Chile, Bolivia and Argentina",Evidence Credible,Andesite / Basaltic Andesite	Dacite,,0
214060,Aragats,Stratovolcano,Unknown,Armenia,Western Asia,Evidence Credible,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,163
343101,"Aramuaca, Laguna",Maar,Unknown,El Salvador,El Salvador and Honduras,Evidence Credible,No Data (checked),,132109
213040,Ararat,Stratovolcano,1840,Turkey,Turkey,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,1239
273084,Arayat,Stratovolcano,Unknown,Philippines,Luzon,Evidence Uncertain,Basalt / Picro-Basalt	Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite	Andesite / Basaltic Andesite,190674
221126,Ardoukoba,Fissure vent(s),1978,Djibouti,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Rhyolite,,2895
345033,Arenal,Stratovolcano,2010,Costa Rica,Costa Rica,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,Dacite,15643
358059,Arenales,Stratovolcano,1979,Chile,Southern Chile and Argentina,Eruption Observed,No Data (checked),,0
231090,"Arhab, Harra of",Volcanic field,500,Yemen,Middle East (southern),Eruption Observed,Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,284443
263290,Arjuno-Welirang,Stratovolcano,1952,Indonesia,Java,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,53983
305011,Arxan-Chaihe,Pyroclastic cone(s),0,China,China (eastern),Eruption Dated,Basalt / Picro-Basalt,,6435
300058,Asacha,Complex,Unknown,Russia,Kamchatka Peninsula,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Dacite	Rhyolite,0
283110,Asamayama,Complex,2019,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,22371
221104,Asavyo,Shield,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Rhyolite,,479
385050,Ascension,Stratovolcano,1508,United Kingdom,Atlantic Ocean (central),Eruption Dated,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,,1149
373060,Askja,Stratovolcano,1961,Iceland,Iceland (northeastern),Eruption Observed,Basalt / Picro-Basalt,Rhyolite,0
282110,Asosan,Caldera,2019,Japan,Ryukyu Islands and Kyushu,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Rhyolite,,75559
221125,Assab Volcanic Field,Volcanic field,Unknown,Eritrea,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt,,9
284150,Asuncion,Stratovolcano,1906,United States,"Izu, Volcano, and Mariana Islands",Eruption Observed,Andesite / Basaltic Andesite,,0
282070,Ata,Caldera(s),885,Japan,Ryukyu Islands and Kyushu,Eruption Observed,Andesite / Basaltic Andesite	Rhyolite	Dacite,,93134
352021,Atacazo,Stratovolcano,-320,Ecuador,Ecuador,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,212988
225005,Atakor Volcanic Field,Pyroclastic cone(s),Unknown,Algeria,Africa (northern),Evidence Credible,Trachybasalt / Tephrite Basanite	Trachyte / Trachydacite	Phonolite,Trachyandesite / Basaltic Trachyandesite	Phono-tephrite /  Tephri-phonolite,0
342060,Atitlan,Stratovolcano(es),1853,Guatemala,Guatemala,Eruption Observed,Andesite / Basaltic Andesite	Rhyolite	Dacite,Basalt / Picro-Basalt,70431
311160,Atka,Stratovolcano(es),1812,United States,Aleutian Islands,Eruption Observed,Basalt / Picro-Basalt	Dacite	Andesite / Basaltic Andesite,,0
320030,Atlin Volcanic Field,Pyroclastic cone(s),Unknown,Canada,Canada,Evidence Credible,Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,Foidite,0
341094,"Atlixcos, Los",Shield,Unknown,Mexico,Mexico,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Dacite,13732
357023,"Atuel, Caldera del",Caldera,Unknown,Argentina,Central Chile and Argentina,Evidence Credible,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,297
241020,Auckland Volcanic Field,Volcanic field,1350,New Zealand,New Zealand,Eruption Dated,Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt	Foidite,,1049110
313010,Augustine,Lava dome(s),2006,United States,Alaska (southwestern),Eruption Observed,Andesite / Basaltic Andesite	Dacite,Rhyolite	Basalt / Picro-Basalt	Trachyandesite / Basaltic Trachyandesite,0
354001,"Auquihuato, Cerro",Pyroclastic cone,Unknown,Peru,Peru,Evidence Uncertain,No Data (checked),,1324
300100,Avachinsky,Stratovolcano,2001,Russia,Kamchatka Peninsula,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,Dacite,0
267040,Awu,Stratovolcano,2004,Indonesia,Sangihe Islands,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,22655
331021,Axial Seamount,Submarine,2015,Undersea Features,Pacific Ocean (northern),Eruption Observed,Basalt / Picro-Basalt,,0
221160,Ayelu,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite,,1375
302070,Azas Plateau,Volcanic field,Unknown,Russia,Russia (southeastern),Evidence Credible,Trachybasalt / Tephrite Basanite	Phono-tephrite /  Tephri-phonolite,Basalt / Picro-Basalt,142
351090,Azufral,Stratovolcano,-930,Colombia,Colombia,Eruption Dated,Dacite	Andesite / Basaltic Andesite,,40657
355061,"Azufre, Cerro del",Stratovolcano,Unknown,Chile,"Northern Chile, Bolivia and Argentina",Evidence Uncertain,Andesite / Basaltic Andesite	Dacite,,58
353060,"Azul, Cerro",Shield,2008,Ecuador,Galapagos Islands,Eruption Observed,Basalt / Picro-Basalt,,220
357060,"Azul, Cerro",Stratovolcano,1967,Chile,Central Chile and Argentina,Eruption Observed,Dacite	Andesite / Basaltic Andesite,Basalt / Picro-Basalt,158
344140,"Azul, Volcan",Pyroclastic cone(s),Unknown,Nicaragua,Nicaragua,Evidence Credible,Trachybasalt / Tephrite Basanite	Trachyte / Trachydacite,,4310
283180,Azumayama,Stratovolcano(es),1977,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,907
274030,Babuyan Claro,Stratovolcano(es),1924,Philippines,North of Luzon,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,222
322090,Bachelor,Stratovolcano,-5800,United States,USA (Oregon),Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,24
255020,Bagana,Lava cone,2019,Papua New Guinea,Bougainville and Solomon Islands,Eruption Observed,Andesite / Basaltic Andesite,,404
300123,Bakening,Stratovolcano,-550,Russia,Kamchatka Peninsula,Eruption Dated,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,10
321010,Baker,Stratovolcano(es),1880,United States,USA (Washington),Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt,46
231170,"Bal Haf, Harra of",Volcanic field,Unknown,Yemen,Middle East (southern),Evidence Credible,Basalt / Picro-Basalt,,5690
255010,Balbi,Stratovolcano,Unknown,Papua New Guinea,Bougainville and Solomon Islands,Evidence Credible,Andesite / Basaltic Andesite,,505
250020,Baluan,Stratovolcano,Unknown,Papua New Guinea,Admiralty Islands,Evidence Uncertain,Basalt / Picro-Basalt,,248
263351,Baluran,Stratovolcano,Unknown,Indonesia,Java,Evidence Uncertain,Andesite / Basaltic Andesite,,59107
251010,Bam,Stratovolcano,1960,Papua New Guinea,Northeast of New Guinea,Eruption Observed,Andesite / Basaltic Andesite,,192
252110,Bamus,Stratovolcano,1886,Papua New Guinea,New Britain,Eruption Observed,Andesite / Basaltic Andesite,,630
273050,Banahaw,Complex,Unknown,Philippines,Luzon,Evidence Credible,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,93134
265090,Banda Api,Caldera,1988,Indonesia,Banda Sea,Eruption Observed,Dacite	Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,5682
283160,Bandaisan,Stratovolcano,1888,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite,,17608
267030,Banua Wuhu,Submarine,1919,Indonesia,Sangihe Islands,Eruption Observed,Andesite / Basaltic Andesite,,480
341020,Barcena,Pyroclastic cone(s),1953,Mexico,Mexico,Eruption Observed,Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,,0
373030,Bardarbunga,Stratovolcano,2015,Iceland,Iceland (northeastern),Eruption Observed,Basalt / Picro-Basalt	Rhyolite,,0
300084,Barkhatnaya Sopka,Lava dome(s),-3550,Russia,Kamchatka Peninsula,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Dacite,,208
260010,Barren Island,Stratovolcano,2019,India,Andaman Islands,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,645
222030,"Barrier, The",Shield,1921,Kenya,Africa (eastern),Eruption Observed,Trachyte / Trachydacite	Phonolite	Basalt / Picro-Basalt,,112
346010,Baru,Stratovolcano,1550,Panama,Panama,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt	Dacite	Trachyandesite / Basaltic Trachyandesite,6983
345050,Barva,Complex,-6050,Costa Rica,Costa Rica,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,8018
275050,Bas Dong Nai,Volcanic field,Unknown,Vietnam,Southeast Asia,Evidence Uncertain,Basalt / Picro-Basalt,,991688
264010,Batur,Caldera,2000,Indonesia,Lesser Sunda Islands,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Trachyandesite / Basaltic Trachyandesite,,466899
355122,"Bayo Gorbea, Cerro",Complex,Unknown,Chile-Argentina,"Northern Chile, Bolivia and Argentina",Evidence Credible,Andesite / Basaltic Andesite	Dacite,,26
225060,Bayuda Volcanic Field,Pyroclastic cone(s),850,Sudan,Africa (northern),Eruption Dated,Trachybasalt / Tephrite Basanite,,1124
315070,Behm Canal-Rudyerd Bay,Pyroclastic cone(s),Unknown,United States,Alaska (eastern),Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,,0
300042,Belenkaya,Stratovolcano,Unknown,Russia,Kamchatka Peninsula,Evidence Credible,Basalt / Picro-Basalt,,8
322060,Belknap,Shield(s),480,United States,USA (Oregon),Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
300640,Bely,Shield(s),Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt,,0
390022,Berlin,Shield(s),-8350,Antarctica,Antarctica and South Sandwich Islands,Eruption Dated,Trachyte / Trachydacite	Phonolite	Trachyandesite / Basaltic Trachyandesite,,0
221191,Beru,Volcanic field,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt,,20176
290040,Berutarubesan [Berutarube],Stratovolcano,Unknown,Japan - administered by Russia,Kuril Islands,Evidence Credible,Andesite / Basaltic Andesite	Dacite,,113
300250,Bezymianny,Stratovolcano,2019,Russia,Kamchatka Peninsula,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,0
268073,Bibinoi,Stratovolcano(es),Unknown,Indonesia,Halmahera,Evidence Credible,Andesite / Basaltic Andesite,,4276
272080,Biliran,Compound,1939,Philippines,Central Philippines,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,78799
255011,Billy Mitchell,Pyroclastic shield,1580,Papua New Guinea,Bougainville and Solomon Islands,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,449
231180,Bir Borhut,Volcanic field,Unknown,Yemen,Middle East (southern),Evidence Uncertain,Basalt / Picro-Basalt,,517
231072,"Birk, Harrat al",Volcanic field,Unknown,Saudi Arabia,Middle East (southern),Evidence Credible,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,37855
221220,Bishoftu Volcanic Field,Fissure vent(s),Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Rhyolite,,310101
324010,Black Butte Crater Lava Field,Shield,-8400,United States,USA (Idaho),Eruption Dated,Basalt / Picro-Basalt,,158
312080,Black Peak,Stratovolcano,-1900,United States,Alaska Peninsula,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,0
327050,Black Rock Desert,Volcanic field,1290,United States,USA (Utah),Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Rhyolite,3292
357102,"Blanca, Laguna",Volcanic field,Unknown,Argentina,Central Chile and Argentina,Evidence Credible,Basalt / Picro-Basalt	Trachyandesite / Basaltic Trachyandesite,,0
357064,"Blancas, Lomas",Stratovolcano,Unknown,Chile,Central Chile and Argentina,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,398
355210,"Blanco, Cerro",Caldera,-2300,Argentina,"Northern Chile, Bolivia and Argentina",Eruption Dated,Rhyolite,,39
300490,Bliznets,Stratovolcano,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
300552,Bliznetsy,Lava cone,-1060,Russia,Kamchatka Peninsula,Eruption Dated,Andesite / Basaltic Andesite,,4
322030,Blue Lake Crater,Maar,680,United States,USA (Oregon),Eruption Dated,Basalt / Picro-Basalt,,308
251001,Blup Blup,Stratovolcano,Unknown,Papua New Guinea,Northeast of New Guinea,Evidence Credible,Andesite / Basaltic Andesite	Dacite,,270
311100,Bobrof,Stratovolcano,Unknown,United States,Aleutian Islands,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
311300,Bogoslof,Submarine,2017,United States,Aleutian Islands,Eruption Observed,Trachyandesite / Basaltic Trachyandesite	Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
251011,Boisa,Stratovolcano,Unknown,Papua New Guinea,Northeast of New Guinea,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,1343
252050,Bola,Stratovolcano,Unknown,Papua New Guinea,New Britain,Evidence Credible,Andesite / Basaltic Andesite,,387
300087,Bolshe-Bannaya,Lava dome(s),Unknown,Russia,Kamchatka Peninsula,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Rhyolite,,27
300300,Bolshoi Payalpan,Shield(s),Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
300150,Bolshoi Semiachik,Stratovolcano(es),-4450,Russia,Kamchatka Peninsula,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Dacite,,0
300360,Bolshoi-Kekuknaysky,Shield(s),-5310,Russia,Kamchatka Peninsula,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Dacite,,0
234000,Boomerang Seamount,Submarine,1995,France,Indian Ocean (southern),Eruption Dated,Basalt / Picro-Basalt,,0
221071,Bora Ale,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyte / Trachydacite,,0
221240,Bora-Bericcio,Pyroclastic cone(s),Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite,,44666
221107,Borawli,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Trachyte / Trachydacite	Rhyolite,,100
221210,Boset-Bericha,Stratovolcano(es),Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Trachyte / Trachydacite	Basalt / Picro-Basalt,,19603
386020,Bouvet,Shield,-50,Norway,Atlantic Ocean (southern),Eruption Dated,Basalt / Picro-Basalt	Trachyte / Trachydacite	Rhyolite,Trachybasalt / Tephrite Basanite,0
384020,Brava,Stratovolcano,Unknown,Cape Verde,Cape Verde Islands,Evidence Credible,Foidite	Trachybasalt / Tephrite Basanite	Phonolite,,6644
351012,"Bravo, Cerro",Stratovolcano,1720,Colombia,Colombia,Eruption Dated,Dacite	Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,,4916
371040,Brennisteinsfjoll,Crater rows,1341,Iceland,Iceland (southwestern),Eruption Observed,Basalt / Picro-Basalt,,33526
320170,Bridge River Cones,Volcanic field,Unknown,Canada,Canada,Evidence Credible,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,55
390040,Bridgeman Island,Stratovolcano,Unknown,Antarctica,Antarctica and South Sandwich Islands,Evidence Uncertain,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
390080,Bristol Island,Stratovolcano,2016,United Kingdom,Antarctica and South Sandwich Islands,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
390010,Buckle Island,Stratovolcano,1899,Antarctica,Antarctica and South Sandwich Islands,Eruption Observed,Trachybasalt / Tephrite Basanite,,0
223070,Bufumbira,Pyroclastic cone(s),Unknown,Uganda,Africa (central),Evidence Uncertain,Phono-tephrite /  Tephri-phonolite	Trachyandesite / Basaltic Trachyandesite	Trachybasalt / Tephrite Basanite,,436134
311010,Buldir,Stratovolcano,Unknown,United States,Aleutian Islands,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
273010,Bulusan,Stratovolcano(es),2017,Philippines,Luzon,Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt	Rhyolite,74286
223004,Bunyaruguru,Maar(s),Unknown,Uganda,Africa (central),Evidence Credible,Foidite,,177517
