Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
211042,Lipari,Stratovolcano(es),1230,Italy,Italy,Eruption Dated,Rhyolite	Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,,28925
311050,Little Sitkin,Stratovolcano,1830,United States,Aleutian Islands,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,0
370030,Ljosufjoll,Fissure vent(s),960,Iceland,Iceland (western),Eruption Dated,Basalt / Picro-Basalt	Rhyolite	Trachyte / Trachydacite,,713
357110,Llaima,Stratovolcano,2009,Chile,Central Chile and Argentina,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Dacite,811
355110,Llullaillaco,Stratovolcano,1877,Chile-Argentina,"Northern Chile, Bolivia and Argentina",Eruption Observed,Dacite,Trachyte / Trachydacite,18
243112,Lobster,Submarine,Unknown,Tonga,Tonga Islands,Evidence Uncertain,,,0
332000,Loihi,Submarine,1996,United States,Hawaiian Islands,Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,0
266100,Lokon-Empung,Stratovolcano(es),2015,Indonesia,Sulawesi,Eruption Observed,Basalt / Picro-Basalt	Dacite	Andesite / Basaltic Andesite,,75684
252071,Lolo,Stratovolcano,Unknown,Papua New Guinea,New Britain,Evidence Uncertain,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,13925
252130,Lolobau,Caldera,1912,Papua New Guinea,New Britain,Eruption Observed,Basalt / Picro-Basalt	Dacite	Andesite / Basaltic Andesite,,7243
255030,Loloru,Pyroclastic shield,-1050,Papua New Guinea,Bougainville and Solomon Islands,Eruption Dated,Andesite / Basaltic Andesite,,173
251050,Long Island,Complex,1993,Papua New Guinea,Northeast of New Guinea,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,2023
357063,"Longavi, Nevado de",Stratovolcano,-4890,Chile,Central Chile and Argentina,Eruption Dated,Andesite / Basaltic Andesite,Dacite	Basalt / Picro-Basalt,141
305050,Longgang Group,Pyroclastic cone(s),350,China,China (eastern),Eruption Dated,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,34708
222100,Longonot,Stratovolcano,1863,Kenya,Africa (eastern),Eruption Dated,Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite,,17893
357100,Lonquimay,Stratovolcano,1990,Chile,Central Chile and Argentina,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,540
257050,Lopevi,Stratovolcano,2007,Vanuatu,Vanuatu,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,793
261111,Lubukraya,Stratovolcano,Unknown,Indonesia,Sumatra,Evidence Uncertain,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,6931
231040,"Lunayyir, Harrat",Volcanic field,1000,Saudi Arabia,Middle East (southern),Eruption Observed,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,234
275020,Ly Son Group,Volcanic field,Unknown,Vietnam,Southeast Asia,Evidence Credible,Basalt / Picro-Basalt,,700
221111,Ma Alalta,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Trachyte / Trachydacite,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Andesite / Basaltic Andesite,25246
358056,Maca,Stratovolcano,1560,Chile,Southern Chile and Argentina,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Dacite,,0
242021,Macauley,Caldera,-4360,New Zealand,Kermadec Islands,Eruption Dated,Basalt / Picro-Basalt	Rhyolite,Dacite	Andesite / Basaltic Andesite,0
333060,Macdonald,Submarine,1989,Undersea Features,Pacific Ocean (central),Eruption Observed,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,0
351040,Machin,Stratovolcano,1180,Colombia,Colombia,Eruption Dated,Dacite	Andesite / Basaltic Andesite,,15212
382120,Madeira,Shield,-4500,Portugal,Azores,Eruption Dated,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite	Andesite / Basaltic Andesite,209816
